evidence_id,glyph_id,recording,broadcast,source_video,ordinal,frame,time_s,source,provisional,reported_hamming,assigned_hamming,confidence,overlay_center_x,overlay_center_y,overlay_pitch,overlay_registration,overlay_deviation_px,assignment_basis,verification_status,difference_cells,image,observed_fingerprint,canonical_fingerprint,cell_provenance
e6c2-11-g001-f000621,2,E6C2-11,E6C2-11,E6C2-11.mp4,1,621,20.6997,ArchiveInvest manual,False,0,0,,235.5,277.8,34.05,subpixel-lattice-fit,1.3512,matches corpus tag,matches repeated corpus observations,,evidence/e6c2-11/g001_f000621.jpg,010000000010000100000000010000000000000010100000000000010000000000000000010000001,010000000010000100000000010000000000000010100000000000010000000000000000010000001,archive-invest-manual archive-invest-manual archive-invest-manual archive-invest-manual carrier-diamond archive-invest-manual archive-invest-manual archive-invest-manual archive-invest-manual archive-invest-manual archive-invest-manual archive-invest-manual carrier-diamond carrier-diamond carrier-diamond archive-invest-manual archive-invest-manual archive-invest-manual archive-invest-manual archive-invest-manual carrier-diamond carrier-diamond archive-invest-manual carrier-diamond carrier-diamond archive-invest-manual archive-invest-manual archive-invest-manual carrier-diamond carrier-diamond archive-invest-manual archive-invest-manual archive-invest-manual carrier-diamond carrier-diamond archive-invest-manual carrier-diamond carrier-diamond archive-invest-manual archive-invest-manual archive-invest-manual archive-invest-manual archive-invest-manual carrier-diamond carrier-diamond archive-invest-manual carrier-diamond carrier-diamond archive-invest-manual archive-invest-manual archive-invest-manual carrier-diamond carrier-diamond archive-invest-manual archive-invest-manual archive-invest-manual carrier-diamond carrier-diamond archive-invest-manual carrier-diamond carrier-diamond archive-invest-manual archive-invest-manual archive-invest-manual archive-invest-manual archive-invest-manual carrier-diamond carrier-diamond carrier-diamond archive-invest-manual archive-invest-manual archive-invest-manual archive-invest-manual archive-invest-manual archive-invest-manual archive-invest-manual carrier-diamond archive-invest-manual archive-invest-manual archive-invest-manual archive-invest-manual
e6c2-11-g002-f000626,37,E6C2-11,E6C2-11,E6C2-11.mp4,2,626,20.8586,ArchiveInvest manual,False,0,0,,236.4,278.2,33.7,subpixel-lattice-fit,1.3775,matches corpus tag,single-source corpus entry; unverified,,evidence/e6c2-11/g002_f000626.jpg,000000000000000000010000010000000000000100000100101000010000000011000000000000000,000000000000000000010000010000000000000100000100101000010000000011000000000000000,archive-invest-manual archive-invest-manual archive-invest-manual archive-invest-manual carrier-diamond archive-invest-manual archive-invest-manual archive-invest-manual archive-invest-manual archive-invest-manual archive-invest-manual archive-invest-manual carrier-diamond carrier-diamond carrier-diamond archive-invest-manual archive-invest-manual archive-invest-manual archive-invest-manual archive-invest-manual carrier-diamond carrier-diamond archive-invest-manual carrier-diamond carrier-diamond archive-invest-manual archive-invest-manual archive-invest-manual carrier-diamond carrier-diamond archive-invest-manual archive-invest-manual archive-invest-manual carrier-diamond carrier-diamond archive-invest-manual carrier-diamond carrier-diamond archive-invest-manual archive-invest-manual archive-invest-manual archive-invest-manual archive-invest-manual carrier-diamond carrier-diamond archive-invest-manual carrier-diamond carrier-diamond archive-invest-manual archive-invest-manual archive-invest-manual carrier-diamond carrier-diamond archive-invest-manual archive-invest-manual archive-invest-manual carrier-diamond carrier-diamond archive-invest-manual carrier-diamond carrier-diamond archive-invest-manual archive-invest-manual archive-invest-manual archive-invest-manual archive-invest-manual carrier-diamond carrier-diamond carrier-diamond archive-invest-manual archive-invest-manual archive-invest-manual archive-invest-manual archive-invest-manual archive-invest-manual archive-invest-manual carrier-diamond archive-invest-manual archive-invest-manual archive-invest-manual archive-invest-manual
e6c2-11-g003-f000630,4,E6C2-11,E6C2-11,E6C2-11.mp4,3,630,20.9919,ArchiveInvest manual,False,0,0,,236.3,277.8,33.85,subpixel-lattice-fit,0.9776,matches corpus tag,matches repeated corpus observations,,evidence/e6c2-11/g003_f000630.jpg,000001001000000010000000000000010000000000000000000000010010000001000001000100000,000001001000000010000000000000010000000000000000000000010010000001000001000100000,archive-invest-manual archive-invest-manual archive-invest-manual archive-invest-manual carrier-diamond archive-invest-manual archive-invest-manual archive-invest-manual archive-invest-manual archive-invest-manual archive-invest-manual archive-invest-manual carrier-diamond carrier-diamond carrier-diamond archive-invest-manual archive-invest-manual archive-invest-manual archive-invest-manual archive-invest-manual carrier-diamond carrier-diamond archive-invest-manual carrier-diamond carrier-diamond archive-invest-manual archive-invest-manual archive-invest-manual carrier-diamond carrier-diamond archive-invest-manual archive-invest-manual archive-invest-manual carrier-diamond carrier-diamond archive-invest-manual carrier-diamond carrier-diamond archive-invest-manual archive-invest-manual archive-invest-manual archive-invest-manual archive-invest-manual carrier-diamond carrier-diamond archive-invest-manual carrier-diamond carrier-diamond archive-invest-manual archive-invest-manual archive-invest-manual carrier-diamond carrier-diamond archive-invest-manual archive-invest-manual archive-invest-manual carrier-diamond carrier-diamond archive-invest-manual carrier-diamond carrier-diamond archive-invest-manual archive-invest-manual archive-invest-manual archive-invest-manual archive-invest-manual carrier-diamond carrier-diamond carrier-diamond archive-invest-manual archive-invest-manual archive-invest-manual archive-invest-manual archive-invest-manual archive-invest-manual archive-invest-manual carrier-diamond archive-invest-manual archive-invest-manual archive-invest-manual archive-invest-manual
e6c2-11-g004-f000634,5,E6C2-11,E6C2-11,E6C2-11.mp4,4,634,21.1253,ArchiveInvest manual,False,0,0,,235.9,278.3,33.9,subpixel-lattice-fit,0.75,matches corpus tag,matches repeated corpus observations,,evidence/e6c2-11/g004_f000634.jpg,100001000000000000000000000000000000000010000000000000010000000000000000000000000,100001000000000000000000000000000000000010000000000000010000000000000000000000000,archive-invest-manual archive-invest-manual archive-invest-manual archive-invest-manual carrier-diamond archive-invest-manual archive-invest-manual archive-invest-manual archive-invest-manual archive-invest-manual archive-invest-manual archive-invest-manual carrier-diamond carrier-diamond carrier-diamond archive-invest-manual archive-invest-manual archive-invest-manual archive-invest-manual archive-invest-manual carrier-diamond carrier-diamond archive-invest-manual carrier-diamond carrier-diamond archive-invest-manual archive-invest-manual archive-invest-manual carrier-diamond carrier-diamond archive-invest-manual archive-invest-manual archive-invest-manual carrier-diamond carrier-diamond archive-invest-manual carrier-diamond carrier-diamond archive-invest-manual archive-invest-manual archive-invest-manual archive-invest-manual archive-invest-manual carrier-diamond carrier-diamond archive-invest-manual carrier-diamond carrier-diamond archive-invest-manual archive-invest-manual archive-invest-manual carrier-diamond carrier-diamond archive-invest-manual archive-invest-manual archive-invest-manual carrier-diamond carrier-diamond archive-invest-manual carrier-diamond carrier-diamond archive-invest-manual archive-invest-manual archive-invest-manual archive-invest-manual archive-invest-manual carrier-diamond carrier-diamond carrier-diamond archive-invest-manual archive-invest-manual archive-invest-manual archive-invest-manual archive-invest-manual archive-invest-manual archive-invest-manual carrier-diamond archive-invest-manual archive-invest-manual archive-invest-manual archive-invest-manual
e6c2-11-g005-f000640,6,E6C2-11,E6C2-11,E6C2-11.mp4,5,640,21.3253,ArchiveInvest manual,False,0,0,,235.8,278.3,34.1,subpixel-lattice-fit,1.0087,matches corpus tag,matches repeated corpus observations,,evidence/e6c2-11/g005_f000640.jpg,000000000011000000000000000000000000000000100100001000010000000001000000010000000,000000000011000000000000000000000000000000100100001000010000000001000000010000000,archive-invest-manual archive-invest-manual archive-invest-manual archive-invest-manual carrier-diamond archive-invest-manual archive-invest-manual archive-invest-manual archive-invest-manual archive-invest-manual archive-invest-manual archive-invest-manual carrier-diamond carrier-diamond carrier-diamond archive-invest-manual archive-invest-manual archive-invest-manual archive-invest-manual archive-invest-manual carrier-diamond carrier-diamond archive-invest-manual carrier-diamond carrier-diamond archive-invest-manual archive-invest-manual archive-invest-manual carrier-diamond carrier-diamond archive-invest-manual archive-invest-manual archive-invest-manual carrier-diamond carrier-diamond archive-invest-manual carrier-diamond carrier-diamond archive-invest-manual archive-invest-manual archive-invest-manual archive-invest-manual archive-invest-manual carrier-diamond carrier-diamond archive-invest-manual carrier-diamond carrier-diamond archive-invest-manual archive-invest-manual archive-invest-manual carrier-diamond carrier-diamond archive-invest-manual archive-invest-manual archive-invest-manual carrier-diamond carrier-diamond archive-invest-manual carrier-diamond carrier-diamond archive-invest-manual archive-invest-manual archive-invest-manual archive-invest-manual archive-invest-manual carrier-diamond carrier-diamond carrier-diamond archive-invest-manual archive-invest-manual archive-invest-manual archive-invest-manual archive-invest-manual archive-invest-manual archive-invest-manual carrier-diamond archive-invest-manual archive-invest-manual archive-invest-manual archive-invest-manual
e6c2-11-g006-f000646,7,E6C2-11,E6C2-11,E6C2-11.mp4,6,646,21.5253,ArchiveInvest manual,False,0,0,,235.8,278.3,34.1,subpixel-lattice-fit,1.0087,matches corpus tag,matches repeated corpus observations,,evidence/e6c2-11/g006_f000646.jpg,001000001011000000100000000000000000000000000000000001010000000010000000000001000,001000001011000000100000000000000000000000000000000001010000000010000000000001000,archive-invest-manual archive-invest-manual archive-invest-manual archive-invest-manual carrier-diamond archive-invest-manual archive-invest-manual archive-invest-manual archive-invest-manual archive-invest-manual archive-invest-manual archive-invest-manual carrier-diamond carrier-diamond carrier-diamond archive-invest-manual archive-invest-manual archive-invest-manual archive-invest-manual archive-invest-manual carrier-diamond carrier-diamond archive-invest-manual carrier-diamond carrier-diamond archive-invest-manual archive-invest-manual archive-invest-manual carrier-diamond carrier-diamond archive-invest-manual archive-invest-manual archive-invest-manual carrier-diamond carrier-diamond archive-invest-manual carrier-diamond carrier-diamond archive-invest-manual archive-invest-manual archive-invest-manual archive-invest-manual archive-invest-manual carrier-diamond carrier-diamond archive-invest-manual carrier-diamond carrier-diamond archive-invest-manual archive-invest-manual archive-invest-manual carrier-diamond carrier-diamond archive-invest-manual archive-invest-manual archive-invest-manual carrier-diamond carrier-diamond archive-invest-manual carrier-diamond carrier-diamond archive-invest-manual archive-invest-manual archive-invest-manual archive-invest-manual archive-invest-manual carrier-diamond carrier-diamond carrier-diamond archive-invest-manual archive-invest-manual archive-invest-manual archive-invest-manual archive-invest-manual archive-invest-manual archive-invest-manual carrier-diamond archive-invest-manual archive-invest-manual archive-invest-manual archive-invest-manual
e6c2-11-g007-f000652,8,E6C2-11,E6C2-11,E6C2-11.mp4,7,652,21.7253,ArchiveInvest manual,False,0,0,,235.8,278.3,34.1,subpixel-lattice-fit,1.0805,matches corpus tag,matches repeated corpus observations,,evidence/e6c2-11/g007_f000652.jpg,000001001101000000100010001000000001000001000000000000000000000000000000000000001,000001001101000000100010001000000001000001000000000000000000000000000000000000001,archive-invest-manual archive-invest-manual archive-invest-manual archive-invest-manual carrier-diamond archive-invest-manual archive-invest-manual archive-invest-manual archive-invest-manual archive-invest-manual archive-invest-manual archive-invest-manual carrier-diamond carrier-diamond carrier-diamond archive-invest-manual archive-invest-manual archive-invest-manual archive-invest-manual archive-invest-manual carrier-diamond carrier-diamond archive-invest-manual carrier-diamond carrier-diamond archive-invest-manual archive-invest-manual archive-invest-manual carrier-diamond carrier-diamond archive-invest-manual archive-invest-manual archive-invest-manual carrier-diamond carrier-diamond archive-invest-manual carrier-diamond carrier-diamond archive-invest-manual archive-invest-manual archive-invest-manual archive-invest-manual archive-invest-manual carrier-diamond carrier-diamond archive-invest-manual carrier-diamond carrier-diamond archive-invest-manual archive-invest-manual archive-invest-manual carrier-diamond carrier-diamond archive-invest-manual archive-invest-manual archive-invest-manual carrier-diamond carrier-diamond archive-invest-manual carrier-diamond carrier-diamond archive-invest-manual archive-invest-manual archive-invest-manual archive-invest-manual archive-invest-manual carrier-diamond carrier-diamond carrier-diamond archive-invest-manual archive-invest-manual archive-invest-manual archive-invest-manual archive-invest-manual archive-invest-manual archive-invest-manual carrier-diamond archive-invest-manual archive-invest-manual archive-invest-manual archive-invest-manual
e6c2-11-g008-f000658,9,E6C2-11,E6C2-11,E6C2-11.mp4,8,658,21.9253,ArchiveInvest manual,False,0,0,,235.8,278.3,34.1,subpixel-lattice-fit,1.0087,matches corpus tag,matches repeated corpus observations,,evidence/e6c2-11/g008_f000658.jpg,000000010000000001000000000000000000000000000000000000000000000010000000001001000,000000010000000001000000000000000000000000000000000000000000000010000000001001000,archive-invest-manual archive-invest-manual archive-invest-manual archive-invest-manual carrier-diamond archive-invest-manual archive-invest-manual archive-invest-manual archive-invest-manual archive-invest-manual archive-invest-manual archive-invest-manual carrier-diamond carrier-diamond carrier-diamond archive-invest-manual archive-invest-manual archive-invest-manual archive-invest-manual archive-invest-manual carrier-diamond carrier-diamond archive-invest-manual carrier-diamond carrier-diamond archive-invest-manual archive-invest-manual archive-invest-manual carrier-diamond carrier-diamond archive-invest-manual archive-invest-manual archive-invest-manual carrier-diamond carrier-diamond archive-invest-manual carrier-diamond carrier-diamond archive-invest-manual archive-invest-manual archive-invest-manual archive-invest-manual archive-invest-manual carrier-diamond carrier-diamond archive-invest-manual carrier-diamond carrier-diamond archive-invest-manual archive-invest-manual archive-invest-manual carrier-diamond carrier-diamond archive-invest-manual archive-invest-manual archive-invest-manual carrier-diamond carrier-diamond archive-invest-manual carrier-diamond carrier-diamond archive-invest-manual archive-invest-manual archive-invest-manual archive-invest-manual archive-invest-manual carrier-diamond carrier-diamond carrier-diamond archive-invest-manual archive-invest-manual archive-invest-manual archive-invest-manual archive-invest-manual archive-invest-manual archive-invest-manual carrier-diamond archive-invest-manual archive-invest-manual archive-invest-manual archive-invest-manual
e6c2-11-g009-f000664,10,E6C2-11,E6C2-11,E6C2-11.mp4,9,664,22.1253,ArchiveInvest manual,False,0,0,,235.8,278.3,34.1,subpixel-lattice-fit,1.0087,matches corpus tag,matches repeated corpus observations,,evidence/e6c2-11/g009_f000664.jpg,000000000000000000010000010000000000000000000100000000000010001000000101001000000,000000000000000000010000010000000000000000000100000000000010001000000101001000000,archive-invest-manual archive-invest-manual archive-invest-manual archive-invest-manual carrier-diamond archive-invest-manual archive-invest-manual archive-invest-manual archive-invest-manual archive-invest-manual archive-invest-manual archive-invest-manual carrier-diamond carrier-diamond carrier-diamond archive-invest-manual archive-invest-manual archive-invest-manual archive-invest-manual archive-invest-manual carrier-diamond carrier-diamond archive-invest-manual carrier-diamond carrier-diamond archive-invest-manual archive-invest-manual archive-invest-manual carrier-diamond carrier-diamond archive-invest-manual archive-invest-manual archive-invest-manual carrier-diamond carrier-diamond archive-invest-manual carrier-diamond carrier-diamond archive-invest-manual archive-invest-manual archive-invest-manual archive-invest-manual archive-invest-manual carrier-diamond carrier-diamond archive-invest-manual carrier-diamond carrier-diamond archive-invest-manual archive-invest-manual archive-invest-manual carrier-diamond carrier-diamond archive-invest-manual archive-invest-manual archive-invest-manual carrier-diamond carrier-diamond archive-invest-manual carrier-diamond carrier-diamond archive-invest-manual archive-invest-manual archive-invest-manual archive-invest-manual archive-invest-manual carrier-diamond carrier-diamond carrier-diamond archive-invest-manual archive-invest-manual archive-invest-manual archive-invest-manual archive-invest-manual archive-invest-manual archive-invest-manual carrier-diamond archive-invest-manual archive-invest-manual archive-invest-manual archive-invest-manual
e6c2-11-g010-f000670,11,E6C2-11,E6C2-11,E6C2-11.mp4,10,670,22.3253,ArchiveInvest manual,False,0,0,,235.8,278.3,34.1,subpixel-lattice-fit,1.0087,matches corpus tag,matches repeated corpus observations,,evidence/e6c2-11/g010_f000670.jpg,100001000000000000000010000000000000000000000100010001000000000000000010100101000,100001000000000000000010000000000000000000000100010001000000000000000010100101000,archive-invest-manual archive-invest-manual archive-invest-manual archive-invest-manual carrier-diamond archive-invest-manual archive-invest-manual archive-invest-manual archive-invest-manual archive-invest-manual archive-invest-manual archive-invest-manual carrier-diamond carrier-diamond carrier-diamond archive-invest-manual archive-invest-manual archive-invest-manual archive-invest-manual archive-invest-manual carrier-diamond carrier-diamond archive-invest-manual carrier-diamond carrier-diamond archive-invest-manual archive-invest-manual archive-invest-manual carrier-diamond carrier-diamond archive-invest-manual archive-invest-manual archive-invest-manual carrier-diamond carrier-diamond archive-invest-manual carrier-diamond carrier-diamond archive-invest-manual archive-invest-manual archive-invest-manual archive-invest-manual archive-invest-manual carrier-diamond carrier-diamond archive-invest-manual carrier-diamond carrier-diamond archive-invest-manual archive-invest-manual archive-invest-manual carrier-diamond carrier-diamond archive-invest-manual archive-invest-manual archive-invest-manual carrier-diamond carrier-diamond archive-invest-manual carrier-diamond carrier-diamond archive-invest-manual archive-invest-manual archive-invest-manual archive-invest-manual archive-invest-manual carrier-diamond carrier-diamond carrier-diamond archive-invest-manual archive-invest-manual archive-invest-manual archive-invest-manual archive-invest-manual archive-invest-manual archive-invest-manual carrier-diamond archive-invest-manual archive-invest-manual archive-invest-manual archive-invest-manual
