glyph_id,fingerprint,n_cells,cells,occurrences,manual_occurrences,provisional_occurrences,recording_count,recordings,broadcast_count,broadcasts,cycles,phrase_clusters,phrase_roles,near_twins_d1,near_twins_d2,nearest_neighbour_distance,family_id,family_size,top_predecessors,top_successors,first_video,first_frame,first_time_s
1,000100110100000101000010000000100000000100000000000000100000000001000010001000010,14,"(0,3) (0,6) (0,7) (1,0) (1,6) (1,8) (2,4) (3,3) (4,3) (6,0) (7,2) (7,7) (8,2) (8,7)",5,5,0,5,E6C2-1N; E6C2-N; E6C3-2; E6C3-9; E6C4-35,5,E6C2-1N; E6C2-N; E6C3-2; E6C3-9; E6C4-35,E6C2; E6C3; E6C4,H,Bridge between main and side tracks (6 broadcasts),,,11,1,1,145×1,2×4; 3×1,E6C2-N,880,29.3219
2,010000000010000100000000010000000000000010100000000000010000000000000000010000001,9,"(0,1) (1,1) (1,6) (2,7) (4,4) (4,6) (6,1) (8,1) (8,8)",5,5,0,5,E6C2-11; E6C2-N; E6C3-2; E6C3-9; E6C4-35,5,E6C2-11; E6C2-N; E6C3-2; E6C3-9; E6C4-35,E6C2; E6C3; E6C4,H,Bridge between main and side tracks (6 broadcasts),,,9,2,1,1×4,3×4; 37×1,E6C2-N,886,29.5218
3,000000000000000000010000010000000000000100000100101001010000000011000000000000001,11,"(2,1) (2,7) (4,3) (5,0) (5,3) (5,5) (5,8) (6,1) (7,1) (7,2) (8,8)",5,5,0,5,E6C2-1N; E6C2-N; E6C3-2; E6C3-9; E6C4-35,5,E6C2-1N; E6C2-N; E6C3-2; E6C3-9; E6C4-35,E6C2; E6C3; E6C4,E,Main track (5 broadcasts) — fixed segment,,37,2,3,2,2×4; 1×1,4×5,E6C2-N,892,29.7218
4,000001001000000010000000000000010000000000000000000000010010000001000001000100000,9,"(0,5) (0,8) (1,7) (3,4) (6,1) (6,4) (7,2) (7,8) (8,3)",6,6,0,6,E6C2-11; E6C2-1N; E6C2-N; E6C3-2; E6C3-9; E6C4-35,6,E6C2-11; E6C2-1N; E6C2-N; E6C3-2; E6C3-9; E6C4-35,E6C2; E6C3; E6C4,E,Main track (5 broadcasts) — fixed segment,,,8,4,1,3×5; 37×1,5×6,E6C2-N,896,29.8551
5,100001000000000000000000000000000000000010000000000000010000000000000000000000000,4,"(0,0) (0,5) (4,4) (6,1)",6,6,0,6,E6C2-11; E6C2-1N; E6C2-N; E6C3-2; E6C3-9; E6C4-35,6,E6C2-11; E6C2-1N; E6C2-N; E6C3-2; E6C3-9; E6C4-35,E6C2; E6C3; E6C4,E,Main track (5 broadcasts) — fixed segment,,,5,5,1,4×6,6×5,E6C2-N,899,29.9551
6,000000000011000000000000000000000000000000100100001000010000000001000000010000000,8,"(1,1) (1,2) (4,6) (5,0) (5,5) (6,1) (7,2) (8,1)",5,5,0,5,E6C2-11; E6C2-1N; E6C2-N; E6C3-2; E6C3-9,5,E6C2-11; E6C2-1N; E6C2-N; E6C3-2; E6C3-9,E6C2; E6C3,E,Main track (5 broadcasts) — fixed segment,,,7,6,1,5×5,7×5,E6C2-N,905,30.1551
7,001000001011000000100000000000000000000000000000000001010000000010000000000001000,9,"(0,2) (0,8) (1,1) (1,2) (2,0) (5,8) (6,1) (7,1) (8,5)",5,5,0,5,E6C2-11; E6C2-1N; E6C2-N; E6C3-2; E6C3-9,5,E6C2-11; E6C2-1N; E6C2-N; E6C3-2; E6C3-9,E6C2; E6C3,E,Main track (5 broadcasts) — fixed segment,,,8,7,1,6×5,8×5,E6C2-N,911,30.3551
8,000001001101000000100010001000000001000001000000000000000000000000000000000000001,10,"(0,5) (0,8) (1,0) (1,2) (2,0) (2,4) (2,8) (3,8) (4,5) (8,8)",5,5,0,5,E6C2-11; E6C2-1N; E6C2-N; E6C3-2; E6C3-9,5,E6C2-11; E6C2-1N; E6C2-N; E6C3-2; E6C3-9,E6C2; E6C3,E,Main track (5 broadcasts) — fixed segment,,,4,8,1,7×5,9×5,E6C2-N,917,30.5551
9,000000010000000001000000000000000000000000000000000000000000000010000000001001000,5,"(0,7) (1,8) (7,1) (8,2) (8,5)",5,5,0,5,E6C2-11; E6C2-1N; E6C2-N; E6C3-2; E6C3-9,5,E6C2-11; E6C2-1N; E6C2-N; E6C3-2; E6C3-9,E6C2; E6C3,B,Main track (6 broadcasts) — fixed segment,,,7,9,1,8×5,10×5,E6C2-N,923,30.7551
10,000000000000000000010000010000000000000000000100000000000010001000000101001000000,8,"(2,1) (2,7) (5,0) (6,4) (6,8) (7,6) (7,8) (8,2)",5,5,0,5,E6C2-11; E6C2-1N; E6C2-N; E6C3-2; E6C3-9,5,E6C2-11; E6C2-1N; E6C2-N; E6C3-2; E6C3-9,E6C2; E6C3,E,Main track (5 broadcasts) — fixed segment,,,3,10,1,9×5,11×5,E6C2-N,929,30.9551
11,100001000000000000000010000000000000000000000100010001000000000000000010100101000,10,"(0,0) (0,5) (2,4) (5,0) (5,4) (5,8) (7,7) (8,0) (8,3) (8,5)",5,5,0,5,E6C2-11; E6C2-1N; E6C2-N; E6C3-2; E6C3-9,5,E6C2-11; E6C2-1N; E6C2-N; E6C3-2; E6C3-9,E6C2; E6C3,E,Main track (5 broadcasts) — fixed segment,,,5,11,1,10×5,12×5,E6C2-N,935,31.1551
12,010000001001000001000000010000000000000000000000000000000000001001000000000000010,8,"(0,1) (0,8) (1,2) (1,8) (2,7) (6,8) (7,2) (8,7)",7,7,0,6,E6C2-11; E6C2-1N; E6C2-N; E6C3-1L; E6C3-2; E6C3-9,6,E6C2-11; E6C2-1N; E6C2-N; E6C3-1L; E6C3-2; E6C3-9,E6C2; E6C3,E,Main track (5 broadcasts) — fixed segment,,,7,12,1,11×5; 107×1; 12×1,13×5; 12×1; 108×1,E6C2-N,941,31.3551
13,001000000010000100010000001000010001000000000000000001000000010100000001100001101,15,"(0,2) (1,1) (1,6) (2,1) (2,8) (3,4) (3,8) (5,8) (6,7) (7,0) (7,8) (8,0) (8,5) (8,6) (8,8)",5,5,0,5,E6C2-11; E6C2-1N; E6C2-N; E6C3-2; E6C3-9,5,E6C2-11; E6C2-1N; E6C2-N; E6C3-2; E6C3-9,E6C2; E6C3,E,Main track (5 broadcasts) — fixed segment,,,4,13,1,12×5,14×5,E6C2-N,947,31.5551
14,100000010000000000000000000000000000001010100000001000000000010100000001000001000,10,"(0,0) (0,7) (4,2) (4,4) (4,6) (5,5) (6,7) (7,0) (7,8) (8,5)",5,5,0,5,E6C2-11; E6C2-1N; E6C2-N; E6C3-2; E6C3-9,5,E6C2-11; E6C2-1N; E6C2-N; E6C3-2; E6C3-9,E6C2; E6C3,B,Main track (6 broadcasts) — fixed segment,,,4,14,1,13×5,15×5,E6C2-N,953,31.7551
15,000001000110000100000000000100110000000101000000000000000000000000000010000000001,11,"(0,5) (1,0) (1,1) (1,6) (3,0) (3,3) (3,4) (4,3) (4,5) (7,7) (8,8)",5,5,0,5,E6C2-11; E6C2-1N; E6C2-N; E6C3-2; E6C3-9,5,E6C2-11; E6C2-1N; E6C2-N; E6C3-2; E6C3-9,E6C2; E6C3,B,Main track (6 broadcasts) — fixed segment,,110,2,15,2,14×5,16×5,E6C2-N,959,31.9551
