glyph_id,recording,broadcast,cycle,track,ordinal,frame,time_s,source,provisional,hamming_distance,confidence,assignment_basis,verification_status,observed_fingerprint
2,E6C2-11,E6C2-11,E6C2,Main,1,621,20.6997,ArchiveInvest manual,False,0,,matches corpus tag,matches repeated corpus observations,010000000010000100000000010000000000000010100000000000010000000000000000010000001
37,E6C2-11,E6C2-11,E6C2,Main,2,626,20.8586,ArchiveInvest manual,False,0,,matches corpus tag,single-source corpus entry; unverified,000000000000000000010000010000000000000100000100101000010000000011000000000000000
4,E6C2-11,E6C2-11,E6C2,Main,3,630,20.9919,ArchiveInvest manual,False,0,,matches corpus tag,matches repeated corpus observations,000001001000000010000000000000010000000000000000000000010010000001000001000100000
5,E6C2-11,E6C2-11,E6C2,Main,4,634,21.1253,ArchiveInvest manual,False,0,,matches corpus tag,matches repeated corpus observations,100001000000000000000000000000000000000010000000000000010000000000000000000000000
6,E6C2-11,E6C2-11,E6C2,Main,5,640,21.3253,ArchiveInvest manual,False,0,,matches corpus tag,matches repeated corpus observations,000000000011000000000000000000000000000000100100001000010000000001000000010000000
7,E6C2-11,E6C2-11,E6C2,Main,6,646,21.5253,ArchiveInvest manual,False,0,,matches corpus tag,matches repeated corpus observations,001000001011000000100000000000000000000000000000000001010000000010000000000001000
8,E6C2-11,E6C2-11,E6C2,Main,7,652,21.7253,ArchiveInvest manual,False,0,,matches corpus tag,matches repeated corpus observations,000001001101000000100010001000000001000001000000000000000000000000000000000000001
9,E6C2-11,E6C2-11,E6C2,Main,8,658,21.9253,ArchiveInvest manual,False,0,,matches corpus tag,matches repeated corpus observations,000000010000000001000000000000000000000000000000000000000000000010000000001001000
10,E6C2-11,E6C2-11,E6C2,Main,9,664,22.1253,ArchiveInvest manual,False,0,,matches corpus tag,matches repeated corpus observations,000000000000000000010000010000000000000000000100000000000010001000000101001000000
11,E6C2-11,E6C2-11,E6C2,Main,10,670,22.3253,ArchiveInvest manual,False,0,,matches corpus tag,matches repeated corpus observations,100001000000000000000010000000000000000000000100010001000000000000000010100101000
