source_set,filename,media_type,bytes,sha256,codec,width,height,duration_s,avg_frame_rate,nb_frames
downloaded,4614837b2296add0ed0eebe0aca451be0a4e0512e13d7884d49ebdd604b1190e.png,image,895111,f7a44efaab008b6f73b27793e4e277c6b3d63179b0c2425219e2395b0a2bc8f0,png,800,800,,25/1,
downloaded,6e2aa729d21d6850b751739f3cbb5c33968a6e393ed114fd1dc41cead3658340.png,image,1205472,6f32e3ed91a80f8a0549b9874e5852864377721d5a57e992efe6aaa3d27bb16d,png,800,800,,25/1,
downloaded,89973c6d8996f020a162f4b8886f30f90f3b57379497176cc3202bccc87b3fb8.png,image,1259745,b38501931be6f2f6193dc51f4c89aaa5e6c78a27f83358de05bccc3ced88ffa6,png,800,800,,25/1,
downloaded,98f4eea14b55b8f2b6bb21ef5227cb3817ede220a5edd33e9851b24611a5003f.png,image,1413792,bfaefdd1f4e5d486850b1d8df0d4690f6968461f85a0c7249153ea04c55bd323,png,800,800,,25/1,
downloaded,a1d66529c2591163905a006ee36a2dec304f6bfc72a61a5dd6b0934212fb6e88.png,image,1455729,8d43c63365f069200e23876d1519d93c389f59b3710634bca456ea47afb6ae96,png,800,800,,25/1,
downloaded,d5a2b929b46d2d01a38bac78c6af1b4227339ca66b30baa8a17b5a1769abddf9.png,image,638904,80e8c84ad6bd2e965519152e7616fc8b554bb7880a62750b6b5cd15162dc1606,png,778,778,,25/1,
downloaded,E6C2-11.webm,video,35256483,2a459e301b025abb51a2a26538201288c3dbb025b2ffce0aaed872f85ec4db12,vp9,1920,1080,26.667,30/1,
downloaded,E6C2-1K.webm,video,101985122,6787b6a6d9d11839e9761d9344cb753d2145e0ae263332132206c3be8fd6f61f,vp9,1920,1080,41.1,30/1,
downloaded,E6C2-1N.webm,video,81312677,ec201dfff06a5de8969e732d5f6fb39da34770ee80a052dea42eca997308901d,vp9,1920,1080,27.8,30/1,
downloaded,E6C2-N.webm,video,67290772,b67f082ec40a1d5e8d10b95f5b15ed56de66da8d8b493db299fe71ef2e1dd0fc,vp9,1920,1080,34.667,30/1,
downloaded,E6C3-18.webm,video,33235913,47df8691529bcab2ca0249130e7b9da869cdd9e089049fcf278429f77fdffd59,vp9,1920,1080,27.633,30/1,
downloaded,E6C3-1L.webm,video,54435369,6cf8231ae35215e1125c8b33fa06cd668971c699713cfb9df6d20354461b2e6b,vp9,1920,1080,30.0,30/1,
downloaded,E6C3-2.mp4,video,67713310,11a85cab3c4c6eec4c930c4b76a0bbfac0f3982a7263b724c15d0650aa08fa40,h264,1920,1080,42.9,30/1,1287
downloaded,E6C4-16.webm,video,63787882,1576ba0f824bdd6af0d7bb907f5d847377acc0850ec5047b3f092229f8f0a997,vp9,1920,1080,21.633,30/1,
downloaded,E6C4-17.webm,video,67439991,aad23c61f2504b9033f195a95b0c848a758c1eaf9e51e5c490f99eb246b53482,vp9,1920,1080,31.667,30/1,
downloaded,E6C4-18.webm,video,82285854,585b057603d4673309dcdcc166d0d3eb37b717db560f25b73002dbb11ddc4eb3,vp9,1920,1080,28.9,30/1,
downloaded,E6C4-1G.webm,video,49383764,69f662e1b1235ef9b91b163d48c27095080d9ab9e8385e7439f0035723677649,vp9,1920,1080,30.567,30/1,
downloaded,E6C4-2T.webm,video,39655900,5bcfbaba445b083ecf7ee1d8bcdc337c8e2bcb91a6e2ea9325a3430e495ed227,vp9,1920,1080,34.467,30/1,
downloaded,E6C4-30.webm,video,30212277,6565da42d205e6cea7841a5a9ed73fe9861b690d655e9e7dd0c2c7cbf53ded09,vp9,1920,1080,29.967,30/1,
downloaded,E6C4-V.webm,video,27111781,384513d093c3194e3611bdf12cc8643833a257302bec5d43413353ae4fe4d889,vp9,1920,1080,25.0,30/1,
downloaded,E6C5-13.mp4,video,70815659,e2fcbd1001f00ee17df86d1617fd2664cf3b4779b780bd316785becce966c738,h264,1920,1080,37.568,30/1,1127
downloaded,E6C5-2J.webm,video,102985684,0f726dc01dce67afe126917bb31b979fcdeb563a538d83b0a23bb0810cbdb29c,vp9,1920,1080,52.233,30/1,
downloaded,E6C6-11.webm,video,25957769,03b5ce900aadcfef002bfa67f660566e9989c80788f51c4142b16b1292f3c212,vp9,1920,1080,18.867,30/1,
downloaded,E6C6-1R.mov,video,47262633,8249478d3d55c705a4a9f513c166dc3a239e7e74b2769a949f757e3e15c69bf7,h264,1920,1080,20.533333,30/1,616
downloaded,E6C6-21.mov,video,48655925,feed58772b258ab62d1a5bf599fa2e1752e3eddd6c1861251052fe019d6347ec,h264,1920,1080,21.133333,30/1,634
downloaded,E6C6-D.mov,video,71046486,2aa3d3b539fc373cf5cb67f7e1b6a4bac09d4de5b8f8603b332a6727a2f36e9f,h264,1920,1080,31.533333,30/1,946
downloaded,Era6Cycle2-6.webm,video,13825347,ef2a04a169110f227ac6269a269c4d5645022084a77bfff435f5eed5cec431ac,vp9,1280,720,35.12,25/1,
downloaded,TheKeeperEra6cycle1f.mp4,video,83234109,0ee4f282bf6b90212e895c5291ac518a9c9b7dab1afaa4f8edf7bdeaccc8a5d3,h264,1920,1080,47.765,30/1,1432
archiveinvest,E6C2-11.mp4,video,50328266,f3e315472d4fc703857cc217e622fed1087fd87c5d2c3edaa37d4ada4c0c9389,h264,2736,1306,29.461313,30/1,878
archiveinvest,E6C2-1K zoomed.mp4,video,3655113,678cbc8989d975d610dfa69ff33385a02037ca794807a4aedda5e330a7f02325,h264,678,668,14.805313,30/1,438
archiveinvest,E6C2-1K.mp4,video,81272265,91650aeff365a109a6361294f0d8b02ae258d215370a8a3aca07d01942b49642,h264,2732,1308,44.522646,30/1,1330
archiveinvest,E6C2-1K_CLOSEUP.mp4,video,43866210,d40f1506bc5ec9d780fbaa5df68739ddfab1c93c53989155ee5e48985c80e176,h264,1984,976,42.431979,30/1,1268
archiveinvest,E6C2-1N.mp4,video,53962506,1c949646ee39f4dca46d10651d9465ef48643580591b99f0579ab377d6c6dbef,h264,2734,1288,30.463979,30/1,908
archiveinvest,E6C2-N.mp4,video,69151985,42e70b82c29615121b1b0029601f585d62b758c2f33947b816ec7c6510675da0,h264,2730,1306,39.231979,30/1,1171
archiveinvest,E6C3-18.mp4,video,56634711,386a94a292cc1ccd7c0955215b3ea035ec919668c05dea3ecde0e6b23bb0a69b,h264,2734,1328,30.079979,30/1,897
archiveinvest,E6C3-1L.mp4,video,59323222,3303c4db10a231ed51d89edb8e56932c233f1e62a5540639a31161d84db91d17,h264,2726,1280,32.959979,30/1,984
archiveinvest,E6C3-2.mp4,video,86712802,5e6b53437f718a3d8e20ddf313d66094816abd25f38568a4b686418ff1203790,h264,2728,1308,45.503979,30/1,1360
archiveinvest,E6C3-9.mp4,video,77651101,108ebdce211af141a8154c19fc3377808f899516361d9a9668e5f74899839657,h264,2730,1284,43.007979,30/1,1285
archiveinvest,E6C4-13.mp4,video,41296263,4362933796f3b31683f7831238a5f72f7b8419779d252bea9a139a52e87b823f,h264,2738,1310,23.701313,30/1,706
archiveinvest,E6C4-16.mp4,video,45895332,89cbadc01206d71a83e5cb15854f5206d179c323afb374980e7293a9a027c33b,h264,2732,1306,25.642646,30/1,764
archiveinvest,E6C4-17.mp4,video,59334858,9e0ebfe7da54d1c29877fab85d4996c6501bada2c384b0bab20039059e91e26d,h264,2732,1276,34.069313,30/1,1017
archiveinvest,E6C4-18.mp4,video,55728937,dd8b5ba831a3a51b4852eb2f5fc35111c356aba4b6b31dbe62b384a4cdf64bc8,h264,2732,1278,31.274646,30/1,934
archiveinvest,E6C4-19.mp4,video,50463970,09d48a000df8d95abf01225cd6c61dbb35df02dcd9879c21f9da468c2f632142,h264,2736,1278,29.055979,30/1,868
archiveinvest,E6C4-1G.mp4,video,57562564,447017aeea879ee6761affbb85ca6e29a9ab233960c25aff4c437d31ba01ba3b,h264,2734,1280,33.279979,30/1,994
archiveinvest,E6C4-1H.mp4,video,59619876,ab78d00000f824b39310a349f2ff6a6b82ff92450563c355afc500117086a5b2,h264,2738,1274,34.389313,30/1,1028
archiveinvest,E6C4-2T.mp4,video,62075945,70f1db0480e60fa599157e8c0c245c479cf84a7a87eeb1642d0becdffc80c12a,h264,2732,1280,36.629313,219200/7303,1096
archiveinvest,E6C4-30.mp4,video,60043932,7bbc721380336f75c5b4343769d3b36e16fcd48d5d194918e65e08efe1640745,h264,2736,1308,32.746646,30/1,979
archiveinvest,E6C4-35.mp4,video,3003934,1d94b5df7be3f4b04b91862b00f0ffd93d9860bdcc6c9c54435fa6544fa110b2,h264,598,570,15.274646,30/1,453
archiveinvest,E6C4-V.mp4,video,50767142,79a2f25f40c55811c4856fba5ab6d970dbdc19c4f5b357c43adb6eb0a8dd16d4,h264,2730,1312,27.157313,30/1,810
archiveinvest,E6C5-13.mp4,video,59819847,a2310f77779110a7e6b5307e072f76dc347e5e7eb286ec16a2fb51ae5617b7c5,h264,2730,1280,39.551979,30/1,1181
archiveinvest,E6C5-N.mp4,video,70701002,712babc98d4330c16a072ca1929792c33f5f07c7565858411310c8853eb7913a,h264,2734,1280,41.983979,30/1,1255
archiveinvest,Youtube_1.mp4,video,704777,d43b43e0f4bad09e9fdec79a43d960b23ee0a11ccc4aee34f26387232b9f1ae1,h264,544,522,4.010667,1210000/40033,121
